CPE,consumo_mean,consumo_std,consumo_min,consumo_max,consumo_median,consumo_q25,consumo_q75,n_registos,consumo_cv,consumo_iqr_norm,consumo_noite,consumo_manhã,consumo_tarde,consumo_h00,consumo_h01,consumo_h02,consumo_h03,consumo_h04,consumo_h05,consumo_h06,consumo_h07,consumo_h08,consumo_h09,consumo_h10,consumo_h11,consumo_h12,consumo_h13,consumo_h14,consumo_h15,consumo_h16,consumo_h17,consumo_h18,consumo_h19,consumo_h20,consumo_h21,consumo_h22,consumo_h23,consumo_seg,consumo_ter,consumo_qua,consumo_qui,consumo_sex,consumo_sab,consumo_dom,consumo_dias_uteis,consumo_fim_semana,racio_weekend_util,hora_pico,valor_pico,hora_vale,valor_vale,racio_pico_vale,consumo_pico_tarde,consumo_noturno,racio_dia_noite,variabilidade_intra_dia_mean,variabilidade_inter_dia,amplitude_diaria_mean
PT0002000053093191SV,0.7601191047553749,0.6131981088739973,0.0,3.552,0.584,0.224,1.24,81676,0.8067131914429905,1.3366326324964215,0.6600223376114431,0.832250097924011,0.8880836271053663,0.6582904368358914,0.6549670588235293,0.6576239717978849,0.6573184488836663,0.6571692126909517,0.657054054054054,0.658126909518214,0.6576498237367803,0.6713948296122209,0.8419753231492362,0.9295123384253818,0.9507579318448884,0.9422103407755582,0.8793078730904819,0.9359271445358402,0.9621457109283196,0.9539153936545242,0.9110458284371328,0.6861598119858989,0.667508813160987,0.6657485311398356,0.6647755581668626,0.6632420681551117,0.6584289071680376,0.7793140905209223,0.7968977709454266,0.812764198479802,0.8288866316604975,0.8175356527729934,0.6421904597899087,0.6432625373771892,0.8070274345836831,0.6427285904198293,0.7964147969162787,15.0,0.9621457109283196,1.0,0.6549670588235293,1.4689986282005592,0.9307587152369762,0.6570705305143296,1.2344719439786922,0.1748121189115875,0.5747410892385582,0.5703098591549296
PT0002000065256275YB,0.0019010444088009503,0.021728149983957168,0.0,0.612,0.0,0.0,0.0,81673,11.429585696875861,0.0,0.0016474219228413962,0.002419114766940854,0.001889933411672542,8.980797636632201e-05,4.352941176470588e-05,2.7027027027027027e-05,3.290246768507638e-05,0.00054524089306698,7.285546415981199e-05,4.465334900117509e-05,0.002410105757931845,0.00021621621621621621,0.0013760282021151587,0.007049353701527614,0.0028848413631022327,0.0005781433607520564,0.00032784958871915395,0.003256169212690952,0.0020282021151586367,0.0025146886016451236,0.0011856639247943594,0.0020270270270270267,0.00463807285546416,0.010408930669800236,0.0027708578143360754,0.0010340775558166863,5.052878965922444e-05,0.00267794004611837,0.0034506789648987954,0.002171477369769428,0.0012025828669823505,0.0012491820216979507,0.0017003100241129866,0.0008421052631578947,0.002153366348510033,0.0012695144964831016,0.5895487766684521,20.0,0.010408930669800236,2.0,2.7027027027027027e-05,385.13043478260875,0.0016484528006267135,0.00013522720667832053,20.20525530426168,0.011119491163403526,0.004368468763946475,0.0841737089201878
PT0002000065523872AA,0.04424844811753903,0.07806401997695168,0.0,2.244,0.008,0.004,0.076,81675,1.7642205161543048,1.6271757104055569,0.029593945183334556,0.05355170387779083,0.0642391304347826,0.023108355476823148,0.022652941176470587,0.022385428907168037,0.02189189189189189,0.021043478260869566,0.02050881316098707,0.020310223266745003,0.020151586368977674,0.02272972972972973,0.05881198589894242,0.07359811985898942,0.07635957696827261,0.06965922444183315,0.05882726204465335,0.06869330199764982,0.07654406580493536,0.07701527614571094,0.0669882491186839,0.03736662749706228,0.04761809635722679,0.04672855464159812,0.04419271445358402,0.039712103407755585,0.02493419506462985,0.03994876611732559,0.054039624252775406,0.054128437233134076,0.056077148269330114,0.07327615603203307,0.020818119187047884,0.011578641606151217,0.055463244113917544,0.016179954539606297,0.2917239119005341,16.0,0.07701527614571094,7.0,0.020151586368977674,3.8217971893404865,0.06962122992557775,0.021931818145701717,2.4667203513523948,0.037656049434048725,0.053962335696190356,0.11822535211267607
PT0002000066469574LZ,0.7281492236522695,0.2096279432299431,0.0,5.844,0.708,0.616,0.82,43666,0.2878914601851608,0.28016235322860267,0.7107129112068176,0.7236047619047619,0.7675439560439561,0.6941635359116022,0.6911740088105727,0.7119934065934066,0.7050659340659341,0.6924285714285714,0.704832967032967,0.6904417582417582,0.6861054945054945,0.7074197802197801,0.7095296703296704,0.721989010989011,0.7567978021978022,0.7597868131868132,0.7650747252747252,0.7896791208791208,0.7747912087912088,0.7614263736263737,0.768443956043956,0.7458483516483516,0.723032967032967,0.7307120879120879,0.7341472527472527,0.7386945054945054,0.711734065934066,0.7270665170700432,0.727910868868227,0.7275999358871614,0.7399833306619651,0.7331873697707966,0.7155978835978837,0.725693023255814,0.7311497082772328,0.7206446440025657,0.9856321295683484,14.0,0.7896791208791208,7.0,0.6861054945054945,1.1509587478938297,0.7698670329670328,0.6999430706405091,1.0559096580173706,0.10033253085910461,0.14610021252368485,0.4393684210526316
PT0002000068856655YV,1.7624528852621293,1.9650080989928038,0.0,15.0,1.0,0.0,3.0,78797,1.1149280161895212,1.702173161669403,0.9408718170047475,2.301360129922858,2.865915550142103,0.8504129703273172,0.7884146341463415,0.7131546894031668,0.6559074299634592,0.6123629719853837,0.5788672350791717,0.5453714981729598,0.5630328867235079,0.9951278928136419,2.684226552984166,3.1863580998781975,3.2557856272838004,3.1236297198538368,3.0523751522533495,2.9637637028014616,3.1263702801461632,3.173568818514007,2.904993909866017,1.97442143727162,1.6473812423873324,1.3663215590742996,1.2752740560292326,1.2731425091352009,0.9832521315468941,2.1769052706552707,2.120480854853072,1.9957257346393589,2.139079333986288,2.2180765805877116,0.972003885895964,0.7297058563731119,2.1300553843962033,0.8508655714538067,0.39945701773148845,11.0,3.2557856272838004,6.0,0.5453714981729598,5.969849246231155,3.0574502639058063,0.6998533218174733,3.200492278062695,1.4323939135682702,1.027092600100414,4.847931873479319
PT0002000068856781NM,31.701587262766584,2.828139239106229,0.0,44.0,31.0,30.0,33.0,81776,0.08921128193564838,0.09463248559555536,30.629182974559686,32.42277973395931,33.124364241001565,30.69693396226415,30.643654524089307,30.525498241500586,30.526408450704224,30.49911971830986,30.463321596244132,30.472711267605632,30.435152582159624,30.690727699530516,32.64348591549296,33.370892018779344,33.61267605633803,33.7837441314554,32.694835680751176,34.028169014084504,34.169894366197184,33.60475352112676,32.92400234741784,31.324530516431924,30.921654929577464,30.738849765258216,30.732394366197184,30.720070422535212,30.610035211267604,32.067811085489794,32.17806815270305,32.22613151152861,32.397865197555305,32.14915604547021,30.50486846600615,30.396464862095467,32.203591685658964,30.45065972073957,0.9455671907025197,15.0,34.169894366197184,7.0,30.435152582159624,1.122711452618995,33.534233176838804,30.55915608218538,1.0556338515825687,1.816412247652026,2.1096824221670336,6.708089097303635
PT0002000068856872QG,0.14573074775369307,0.5018851930936895,0.0,9.0,0.0,0.0,0.0,78796,3.4439210724558356,0.0,0.1502488067431705,0.13048112058465286,0.15194884287454324,0.14473684210526316,0.08323170731707318,0.08038976857490865,0.08221680876979294,0.08221680876979294,0.07978075517661389,0.08252131546894031,0.08313032886723508,0.08678440925700365,0.08861144945188794,0.1476857490864799,0.21619975639464067,0.1604750304506699,0.11997563946406821,0.1233252131546894,0.18848964677222899,0.1814859926918392,0.15864799025578563,0.139768574908648,0.12728380024360536,0.18331303288672351,0.3099878197320341,0.2853227771010962,0.2618757612667479,0.1022170777312795,0.11861086375779163,0.12714807229988426,0.13087606837606838,0.1262914143213395,0.3183504062168845,0.09558303886925795,0.12102863655791424,0.20698639816286876,1.71022663767531,21.0,0.3099878197320341,5.0,0.07978075517661389,3.885496183206107,0.15539991879821355,0.09209544845224078,1.6271744351797965,0.3605872989634446,0.19845081496141517,1.5279805352798053
PT0002000068856906VS,5.830671590686754,2.789117844288285,0.0,26.0,5.0,4.0,7.0,81776,0.4783527593533654,0.5145204893364009,5.692098825831702,5.644953051643192,6.293427230046948,5.6007067137809186,5.613689776733255,5.695422535211268,5.793427230046948,5.865610328638498,5.825704225352113,5.279342723004695,4.855046948356808,4.726525821596244,5.49618544600939,5.890845070422535,6.213321596244131,6.687793427230047,6.821596244131455,6.650234741784038,6.809565727699531,6.139084507042254,5.716255868544601,5.623826291079812,5.656396713615023,5.77112676056338,5.778169014084507,5.721830985915493,5.703345070422535,5.984198838401094,6.116823228010247,6.114517506404782,6.057223991050684,6.036421560185983,5.408609497779296,5.099957283212302,6.061888525264294,5.254303164908384,0.8667766064997542,13.0,6.821596244131455,8.0,4.726525821596244,1.4432580084430096,6.470755086071988,5.732426801627167,1.0261286379912162,1.6452281282917738,2.1079625841954526,7.684642438452521
PT0002000068856952LS,0.8557543462729221,1.2214750023623298,0.0,8.0,1.0,0.0,1.0,67184,1.4273664021482748,1.1685596507400902,1.1979514054311577,0.4336904761904762,0.59375,1.3121408045977012,0.9642857142857143,0.8567857142857143,1.12,1.2328571428571429,1.075,0.9167857142857143,0.6671428571428571,0.365,0.36607142857142855,0.38285714285714284,0.385,0.43607142857142855,0.43464285714285716,0.445,0.41678571428571426,0.3896428571428571,0.7996428571428571,1.0767857142857142,1.1760714285714287,1.269642857142857,1.4067857142857143,1.5317857142857143,1.5139285714285715,0.8290090653329165,0.8558032923525735,0.8390289643675766,0.8578125,0.8743226344310129,0.8627696155048452,0.8715357366117942,0.851195065535852,0.8671529044021881,1.0187475697551067,22.0,1.5317857142857143,8.0,0.365,4.1966731898238745,0.48696428571428574,1.0935115626710454,0.6249321534790757,0.8045069433328844,0.6573423158155993,2.731811697574893
PT0002000068857099AR,3.0375019036499316,3.3785627093518964,0.0,24.0,2.0,1.0,3.0,78796,1.1122833224539344,0.6584358013395002,3.7424088554889816,1.9471680876979294,2.7187373122208687,1.9987760097919216,1.6701219512195122,1.598964677222899,1.58952496954933,1.588611449451888,1.5755176613885506,1.532886723507917,1.561510353227771,1.792326431181486,1.9223507917174179,2.133069427527406,2.206151035322777,2.0676004872107185,1.9348355663824603,2.09652862362972,2.255481120584653,2.357795371498173,2.768270401948843,4.899512789281364,6.658647990255786,7.484470158343483,8.374847746650426,7.029232643118148,3.7962850182704018,3.2353098290598292,3.352034909609048,3.1317898486197686,3.496616809116809,3.312761599430047,2.55483927940657,2.189929328621908,3.305705941017239,2.37241653418124,0.717673191902603,21.0,8.374847746650426,6.0,1.532886723507917,5.463448549860946,2.246751928542428,1.6702527864373502,1.947545209956106,2.952896329695818,0.9373278293442983,11.98661800486618
PT0002000068857897ZV,11.820144158777696,10.000938968849695,0.0,65.0,7.0,6.0,12.0,78802,0.8460928085570725,0.5076080223221618,6.8285018023049195,17.67590336987414,15.944123020706456,6.74160048869884,6.782926829268293,6.637637028014616,6.654384896467723,6.535018270401949,6.508830694275274,6.467113276492083,6.938794153471377,14.087697929354446,21.767965895249695,21.633982947624848,21.586784409257003,20.040194884287455,18.253045066991472,17.91626065773447,17.658647990255787,16.585261875761265,14.320341047503046,10.931181485992692,8.089829476248477,7.2557856272838,6.811814859926918,6.73599269183922,6.720767356881852,13.868256070640177,14.24216473911892,13.902693156732893,14.265571710644409,13.113536333423156,6.735749910936943,6.629129129129129,13.879808717912251,6.682217294900222,0.4814343937086574,9.0,21.767965895249695,6.0,6.467113276492083,3.3659478293624634,17.46229192042225,6.643399701187782,2.1670446603402023,6.424830739719385,5.235236490200169,19.676792223572296
PT0002000068857909SY,4.523972689662174,4.975986111109202,0.0,24.0,1.0,1.0,8.0,78798,1.099915152556056,1.5473126122082586,3.9095201827875097,4.67559886317499,5.600690215184734,3.010703363914373,0.6298780487804878,0.5770401948842875,0.5645554202192449,0.5475030450669914,0.5411084043848965,0.5429354445797807,0.7347746650426309,4.28958587088916,5.838611449451888,6.004567600487211,5.777101096224117,5.408952496954933,4.720767356881852,4.908038976857491,5.497563946406821,5.69884287454324,5.969549330085262,6.809378806333739,8.237515225334958,8.46985383678441,8.478684531059683,8.351400730816078,6.955237515225335,4.699341168091168,4.975779162956367,5.065277406714756,5.237336419478323,5.144968833481745,4.099796873620066,2.46532991785178,5.024539658795455,3.282635576753224,0.6533206621241353,21.0,8.478684531059683,5.0,0.5411084043848965,15.669105233539671,5.3672858302882664,0.9784647462083802,5.581877364932339,3.8860797421999886,2.597714470405663,11.21411192214112
PT0002000068859187RL,11.73362194421005,11.20040779647105,0.0,58.0,7.0,3.0,18.0,81771,0.9545567302002503,1.2783776459920582,11.34908868501529,13.296312597809077,10.93960289514867,18.717487466823947,18.56316098707403,17.584213615023476,15.800469483568076,13.639964788732394,11.588028169014084,10.2162558685446,8.304577464788732,12.709507042253522,13.971830985915492,15.072476525821596,14.549882629107982,15.169600938967136,13.04518779342723,12.460093896713616,11.948356807511738,11.095363849765258,9.759976525821596,7.328638497652582,4.322769953051643,4.161971830985915,4.630281690140845,4.918720657276995,12.090962441314554,12.715456874466268,13.054824935952178,13.122982321291314,13.316777136954464,15.073704150163596,8.636029725805074,6.25205058099795,13.454318026045236,7.444192900773141,0.5532939600775356,0.0,18.717487466823947,20.0,4.161971830985915,4.497264332130289,12.246429968701095,15.982220751706002,0.6599003625734272,7.44938922931766,7.094209909294399,25.34232121922626
PT0002000068859325FL,31.501846329547618,27.80545412850531,0.0,500.0,25.0,11.0,44.0,78805,0.8826610934999317,1.0475576464560163,26.447140645226796,34.37900933820544,38.73127283800244,16.632141765963947,11.298780487804878,10.41940389294404,10.268879415347138,9.972594397076735,9.76857490864799,9.658647990255785,10.773447015834348,29.071559074299635,40.687576126674784,43.76339829476248,41.6278928136419,40.35018270401949,36.23051157125457,33.334043848964676,32.649208282582215,33.578258221680876,42.2037149817296,54.39190012180268,61.58678440925701,60.72838002436053,47.70127892813642,41.19397076735688,28.104445797807553,32.80259994657644,32.224844167408726,35.547413409313506,34.627737226277375,33.271261911122984,28.93289183222958,23.19673289183223,33.694862434333544,26.064812362030906,0.7735544970046246,19.0,61.58678440925701,6.0,9.658647990255785,6.376335950061478,36.39098660170524,11.393395811297454,3.391969318511514,22.141950880525687,10.801763383114915,84.72992700729927
PT0002000068859382XF,20.48663312241112,17.666629584251314,0.0,92.0,12.0,9.0,22.0,78702,0.8623490975159361,0.6345601018148168,11.77710843373494,29.192174796747967,29.192174796747967,10.722596448254746,10.183150183150182,10.136890243902439,10.096646341463414,10.038109756097562,10.046951219512195,10.05701219512195,11.236280487804878,25.464024390243903,33.41859756097561,34.41798780487805,35.49176829268293,35.12439024390244,32.67987804878049,32.455182926829266,32.021341463414636,29.79237804878049,26.739634146341462,21.464634146341464,15.726524390243902,14.528048780487804,13.93719512195122,13.395731707317074,12.45,23.976133226467184,25.122707034728407,24.91406945681211,25.068815098370873,24.164203027604632,10.31142577255321,9.932779789771221,24.649219974355322,10.121330376940133,0.4106146315165434,11.0,35.49176829268293,4.0,10.038109756097562,3.535702353834472,31.46880081300813,10.204057365396757,2.477904520979303,10.73915333723311,10.438064629013628,30.980511571254567
PT0002000068859393XH,24.426478501198453,18.189307313597006,0.0,110.0,25.0,7.0,37.0,81772,0.7446553260923211,1.2281753998443978,17.929812114688325,27.53452660406886,34.30540884194053,9.289209905660377,7.29406580493537,6.85387323943662,6.731807511737089,6.627934272300469,6.546948356807512,6.34419014084507,10.810152582159624,22.198063380281692,29.487676056338028,33.107100938967136,34.640845070422536,34.96332159624413,33.93104460093897,33.10269953051643,32.541079812206576,32.788145539906104,35.075410798122064,38.39407276995305,40.6299882629108,39.45246478873239,35.11854460093897,29.711561032863848,20.504107981220656,24.376857386848847,25.355849701110163,26.139721581689297,26.888181113884823,27.52467062774477,23.55560300649129,17.186586928662965,26.053290837745678,20.371503011147652,0.7819166929052078,19.0,40.6299882629108,6.0,6.34419014084507,6.404282873132603,33.733616979655714,7.223973181812906,4.261719867240236,14.81029833138902,9.215768828113438,44.473622508792495
PT0002000068859597LS,29.195012373881593,23.99145125303332,0.0,142.0,19.0,11.0,42.0,78795,0.8217654079330524,1.061825205038556,21.503973392236016,37.65946000812018,36.10444579780755,19.239669421487605,21.06890243902439,21.56760048721072,19.963459196102313,19.265225334957368,18.47655298416565,19.19549330085262,18.72198538367844,33.40651644336175,42.19823386114494,44.503045066991476,44.279841656516446,42.84713763702801,41.55328867235079,39.05694275274056,38.83800243605359,35.57886723507917,32.04598051157125,29.55359317904994,23.626065773447017,24.68818514007308,25.531059683313032,23.892509135200974,21.520706455542022,32.982546749777384,34.478628673196795,34.10954755967225,34.72130709642953,32.24935435034286,17.85130242825607,18.159424130012365,33.70830661822327,18.005342871020446,0.5341515097434903,10.0,44.503045066991476,5.0,18.47655298416565,2.4086227071213147,38.3200365408039,19.930234977158005,1.679684908843052,12.530428025297743,18.32509334928228,42.08150851581509
PT0002000069698702RB,2.170262290161439,1.106917730318851,0.0,7.344,1.756,1.344,2.556,46643,0.5100386876447597,0.5584578442404964,1.5943593394810207,2.4750528120713304,3.016635802469136,2.298011369509044,1.4131195876288658,1.500281893004115,1.453648148148148,1.5711255144032923,1.3730761316872429,1.4474506172839507,1.6499609053497941,2.1786995884773663,2.79270987654321,2.5129506172839506,2.244526748971193,3.471469135802469,2.9565658436213993,2.889187242798354,2.2928127572016463,2.4970637860082308,3.9608683127572015,3.5033168724279835,1.7921213991769547,1.4804876543209877,1.593985596707819,1.5754156378600823,1.6364732510288067,1.823422956677088,2.3029147194522994,2.36355767227266,2.2789720838992,2.3098085170643308,2.2787548708654284,1.8343378664249017,2.2153113399592863,2.056596721806783,0.9283556151726194,17.0,3.9608683127572015,5.0,1.3730761316872429,2.8846676606999693,3.0113278463648836,1.6015437740634517,1.5322784799346707,1.0282686106699115,0.3142072367306127,4.137010266940452
